exp(%),Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.resnet.paris,38.17,0,55.48,0,68.3,0,22.76,0,0.0
xh.deeplab.resnet.paris.test_bn,43.71,0,57.42,0,68.3,0,32.7,0,0.0
xh.deeplab.resnet.paris.gt_discriminator.beta_0.01.test_bn,46.75,3.04,57.84,0.42,65.17,-3.13,39.84,7.14,1.87
xh.deeplab.resnet.paris.ss_similarity.rotate.beta_0.01.test_bn,43.84,0.13,59.39,1.97,66.33,-1.97,37.3,4.6,1.18
xh.deeplab.resnet.paris.gt_discriminator.beta_0.1.finetune.test_bn,43.78,0.07,57.67,0.25,68.02,-0.28,32.62,-0.08,-0.01
xh.deeplab.resnet.paris.ss_similarity.rotate.beta_0.1.test_bn,44.13,0.42,57.02,-0.4,65.14,-3.16,35.53,2.83,-0.08
xh.deeplab.resnet.paris.gt_discriminator.beta_0.1.test_bn,44.46,0.75,54.79,-2.63,64.09,-4.21,35.61,2.91,-0.79
xh.deeplab.resnet.paris.gt_discriminator.beta_0.01.test_bn,42.91,-0.8,54.63,-2.79,68.04,-0.26,32.94,0.24,-0.9
xh.deeplab.resnet.paris.ss_similarity.rotate.beta_0.005.test_bn,40.83,-2.88,60.35,2.93,64.97,-3.33,30.96,-1.74,-1.25
xh.deeplab.resnet.paris.gt_discriminator.beta_0.1.finetune,35.57,-8.14,55.63,-1.79,68.02,-0.28,17.98,-14.72,-6.23
xh.deeplab.resnet.paris.gt_discriminator.beta_0.01,34.83,-8.88,56.02,-1.4,65.17,-3.13,16.88,-15.82,-7.31
xh.deeplab.resnet.paris.gt_discriminator.beta_0.01,34.83,-8.88,56.02,-1.4,65.17,-3.13,16.88,-15.82,-7.31
xh.deeplab.resnet.paris.gt_discriminator.beta_0.1,35.3,-8.41,54.71,-2.71,64.09,-4.21,15.34,-17.36,-8.17
xh.deeplab.resnet.paris.ss_similarity.rotate.beta_0.01,30.2,-13.51,54.23,-3.19,66.33,-1.97,12.02,-20.68,-9.84
xh.resnet.paris.test_csv,17.8,-25.91,61.99,4.57,71.24,2.94,7.76,-24.94,-10.84
xh.deeplab.resnet.paris.ss_similarity.rotate.beta_0.1,28.63,-15.08,55.65,-1.77,65.14,-3.16,9.18,-23.52,-10.88
xh.deeplab.resnet.paris.ss_similarity.rotate.beta_0.005,26.48,-17.23,49.31,-8.11,64.97,-3.33,9.76,-22.94,-12.9
